car name,brand,year,mileage (km),location,transmission,plate type,rear camera,sun roof,auto retract mirror,electric parking brake,map navigator,vehicle stability control,keyless push start,sports mode,360 camera view,power sliding door,auto cruise control,price (Rp),instalment (Rp|Monthly)
AYLA X 1.2,Daihatsu,2018,10.508,Jakarta Utara,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,101000000,2060000
AGYA TRD SPORTIVO 1.0,Toyota,2015,112.888,Bogor,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,82000000,1670000
X-TRAIL 2.5,Nissan,2015,118.429,Surabaya,Automatic,odd plate,0,0,0,0,0,0,1,0,1,0,0,169000000,3440000
YARIS S TRD 1.5,Toyota,2020,15.945,Tangerang Selatan,Automatic,odd plate,0,0,0,0,0,0,0,0,0,0,0,218000000,4440000
AGYA G 1.2,Toyota,2019,30.404,Jakarta Barat,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,117000000,2380000
AVANZA G 1.3,Toyota,2021,17.306,Tangerang Selatan,Manual,even plate,0,0,1,0,0,0,0,0,0,0,0,180000000,3670000
AVANZA G 1.5,Toyota,2022,12.211,Surabaya,Manual,even plate,0,0,1,0,0,0,0,0,0,0,0,211000000,4300000
OUTLANDER SPORT PX 2.0,Mitsubishi,2016,126.885,Bekasi,Automatic,even plate,0,1,1,0,0,0,0,0,0,0,0,190000000,3870000
BRIO SATYA E 1.2,Honda,2019,33.464,Bandung,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,140000000,2850000
HR-V S 1.5,Honda,2021,33.364,Malang,Automatic,odd plate,0,0,1,1,0,0,0,0,0,0,0,248000000,5050000
AGYA G TRD 1.2,Toyota,2018,44.969,Bandung,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,117000000,2380000
AYLA R 1.2,Daihatsu,2019,43.292,Depok,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,114000000,2320000
AYLA R 1.2,Daihatsu,2019,57.385,Bekasi,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,110000000,2240000
AYLA R DLX 1.2,Daihatsu,2017,53.151,Jakarta Selatan,Automatic,odd plate,0,0,0,0,0,0,0,0,0,0,0,115000000,2340000
AGYA G TRD 1.2,Toyota,2019,46.182,Jakarta Utara,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,118000000,2400000
ALMAZ LT LUX 1.5,Wuling,2019,58.152,Malang,Automatic,even plate,0,1,1,0,0,0,0,0,0,0,0,198000000,4030000
TERIOS TX 1.5,Daihatsu,2015,118.704,Depok,Manual,odd plate,0,0,1,0,1,0,0,0,0,0,0,141000000,2870000
AGYA G TRD 1.2,Toyota,2018,78.385,Bekasi,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,117000000,2380000
MOBILIO E 1.5,Honda,2018,45.376,Jakarta Timur,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,155000000,3160000
AYLA R 1.2,Daihatsu,2018,37.343,Bogor,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,108000000,2200000
AYLA R 1.2,Daihatsu,2017,61.937,Jakarta Timur,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,105500000,2150000
AYLA R 1.2,Daihatsu,2018,47.085,Bogor,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,111000000,2260000
ERTIGA GL 1.5,Suzuki,2022,178.0,Bogor,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,190000000,3870000
AYLA R 1.2,Daihatsu,2019,10.301,Tangerang Selatan,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,114000000,2320000
CR-V TURBO 1.5,Honda,2017,75.302,Jakarta Utara,Automatic,even plate,0,0,0,1,0,0,1,0,0,0,0,340000000,6930000
CONFERO 2WD 1.5,Wuling,2020,18.298,Malang,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,101500000,2069999
ALMAZ LT LUX 1.5,Wuling,2019,50.387,Jakarta Timur,Automatic,odd plate,0,1,1,0,0,0,0,0,0,0,0,202000000,4120000
LIVINA VL 1.5,Nissan,2019,64.235,Tangerang Selatan,Automatic,even plate,0,0,1,0,0,1,0,0,0,0,0,197000000,4010000
CALYA G 1.2,Toyota,2021,44.473,Bandung,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,0,138000000,2810000
BRIO SATYA E 1.2,Honda,2018,24.577,Bandung,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,135000000,2750000
TERIOS R 1.5,Daihatsu,2019,42.32,Bekasi,Manual,even plate,0,0,1,0,0,1,0,0,0,0,0,193000000,3930000
AVANZA G 1.3,Toyota,2015,81.158,Surabaya,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,127000000,2590000
HR-V S 1.5,Honda,2018,64.753,Bogor,Automatic,even plate,0,0,1,1,0,0,0,0,0,0,0,208000000,4240000
XPANDER ULTIMATE 1.5,Mitsubishi,2019,72.887,Jakarta Utara,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,1,216000000,4400000
XPANDER ULTIMATE 1.5,Mitsubishi,2018,77.425,Bandung,Automatic,odd plate,0,0,1,0,0,1,0,0,0,0,0,204000000,4160000
AYLA X 1.0,Daihatsu,2016,63.175,Tangerang Selatan,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,89000000,1810000
